  ; Magasin 7512 CUSSET ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; édité le 09/03/2024 16:28 ;  
 Commandabilité : Toutes ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Niveau d'extraction : Groupe de famille, Famille, Sous-famille, Unité de Gestion, EAN ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Fréquence d'extraction :  ;  ;  ;  ;  ;  ; Fin de planification :  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Note : les champs avec * sont liées à la période de vente sélectionnée ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Libellé Unité de Besoin  ; Code UG  ; Libellé UG  ; IFLS ; EAN ; Article Libellé Court ; Article Libellé Long ; PAHT ; Type PA ; SRP ; PVC ; Indicateur PVC ; PV Mag ; Type PV Mag ; Indicateur PV Mag ; TVA en % ; Quantité vendue * ; Type Qté ; Stock en quantité ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ;  ;  ;  ;  ;  ;  ; 4034 ;  ;  ; 5515 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 12639,250 ;  ; 56220,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ;  ;  ;  ;  ; 919 ;  ;  ; 1625 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 4029,250 ;  ; 26848,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ;  ;  ; 214 ;  ;  ; 320 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 455,000 ;  ; 2254,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001134172 ; PET 1.5L LIMONADE LIGHT OGEU ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001134172 ; PET 1.5L LIMONADE LIGHT OGEU ; 219029 ; 3119070055104 ; LIMONADE LIGH.1.5L ; OGEU LIMONADE LIGHT 1.5L ; 0,72 ; PF ; 0,68 ; 0,87 ; E ; 0,87 ; PVC ; E ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003585794 ; LIMONADE BIO OGEU 150 CL ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003585794 ; LIMONADE BIO OGEU 150 CL ;  ; 3119070055333 ; LIMONADE BIO OGEU ; LIMONADE BIO OGEU 150 CL ;  ;  ; 0 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001009072 ; 1.5L PET LIMONADE OGEU ;  ; 2 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001009072 ; 1.5L PET LIMONADE OGEU ; 300355 ; 3119070064359 ; LIMONADE OGEU 1.5L ; OGEU LIMONADE PET 1.5L ; 0,78 ; PF ; 0,72 ; 0,93 ; R ; 0,93 ; PVC ; R ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001009072 ; 1.5L PET LIMONADE OGEU ;  ; 3119070855094 ; LIMONADE OGEU X6 ; OGEU LIMONADE 5+1X1.5L ;  ;  ; 2,99 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001101800 ; PET 1.5L LIMONADE ZERO CRF ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 38,000 ;  ; 41,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001101800 ; PET 1.5L LIMONADE ZERO CRF ; 867089 ; 3245411441920 ; PET 1.5L LIMONADE ; PET 1.5L LIMONADE ZERO CR ; 0,42 ; DPV ; 0,49 ; 0,59 ; E ; 0,59 ; PVC ; E ; 0,055 ; 38,000 ; UVC ; 41,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003002807 ; PET LIMONADE 1,5L GARCON ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 3,000 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003002807 ; PET LIMONADE 1,5L GARCON ; 398359 ; 3248710151408 ; PET LIMONADE 1,5L ; PET LIMONADE 1,5L GARCON ; 0,88 ; DPV ; 0,97 ; 1,35 ; E ; 1,35 ; PVC ; E ; 0,055 ; 3,000 ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000002989923 ; PET 1,5L LIMONADE HAMOUD ;  ; 2 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 15,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000002989923 ; PET 1,5L LIMONADE HAMOUD ; 891304 ; 3248710510106 ; PET 1,5L LIMONADE ; LIMONADE HAMOUD PET 1,5L ; 1,56 ; DPV ; 1,58 ; 1,79 ; R ; 1,79 ; PVC ; R ; 0,055 ;  ; UVC ; 27,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000002989923 ; PET 1,5L LIMONADE HAMOUD ;  ; 3248710510205 ; PET 6X1,5L LIMONAD ; LIMONAD HAMOUD PET 6X1,5L ;  ;  ; 7,92 ; 10,74 ; R ; 10,74 ; PVC ; R ; 0,055 ;  ; UVC ; -2,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001402428 ; PET 2L SODA LORDINAIRE ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001402428 ; PET 2L SODA LORDINAIRE ; 915797 ; 3249290004689 ; SODA L ORDINAIRE ; L ORDINAIRE SODA 2L ; 1,62 ; DPV ; 2,45 ; 3,35 ; E ; 3,35 ; PVC ; E ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001808301 ; PET 1,5L LIMONETTE MILLES ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001808301 ; PET 1,5L LIMONETTE MILLES ;  ; 3271330013696 ; 1,5L LIMONET.MILLE ; LIMONETTE MILLES PET 1,5L ;  ;  ; 1,39 ; 1,74 ; E ; 1,74 ; PVC ; E ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001808305 ; 4X1.5LDT1LOF LIMONETTE ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001808305 ; 4X1.5LDT1LOF LIMONETTE ; 882079 ; 3271330063110 ; 4X1.5LDT1OF LIMONE ; LIMONETTE 4X1.5LDT1LOF ; 3,21 ; DPV ; 4,59 ; 5,25 ; E ; 5,25 ; PVC ; E ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003258892 ; 33CL LIMONADE BREIZH LIMO ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003258892 ; 33CL LIMONADE BREIZH LIMO ;  ; 3271470330288 ; 33CL LIMONADE BREI ; 33CL LIMONADE BREIZH LIMO ;  ;  ; 0 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003201990 ; PET 1.5 LITRE BREIZH LIMO ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003201990 ; PET 1.5 LITRE BREIZH LIMO ;  ; 3271471500239 ; BREIZH LIMO 1.5 L ; BREIZH LIMO PET 1.5 LITRE ;  ;  ; 0 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001322882 ; 1.25L LIMONADE LORINA CRISTAL ;  ; 7 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 39,000 ;  ; 18,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001322882 ; 1.25L LIMONADE LORINA CRISTAL ; 430415 ; 3551720022683 ; 1.25L LORINA CRIST ; LORINA LIMON.CRISTA.1,25L ; 2,19 ; DPV ; 1,79 ; 2,69 ; E ; 2,69 ; PVC ; E ; 0,055 ; 33,000 ; UVC ; -36,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001322882 ; 1.25L LIMONADE LORINA CRISTAL ; 811189 ; 3551720023079 ; LORINA CRISTAL ; LORINA CRISTAL 2X1,25L OS ; 4,32 ; DPV ; 3,7 ; 4,61 ; E ; 4,9 ; PVB ; E ; 0,055 ; 6,000 ; UVC ; 27,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001322882 ; 1.25L LIMONADE LORINA CRISTAL ; J90063 ; 3551720028814 ; X4 LORINA CRISTAL ; LORINA LIMONAD.ARTIS.X4 ; 8,76 ; PF ; 6,33 ; 9,13 ; E ; 9,12 ; PVB ; E ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001322882 ; 1.25L LIMONADE LORINA CRISTAL ;  ; 3551720029880 ; PET 5+1X1,25L LORI ; LIMONADE LORINA CR.5+1TG ;  ;  ; 0 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001322882 ; 1.25L LIMONADE LORINA CRISTAL ;  ; 3551720030183 ; 3+1X1,25L LIMON. C ; LORINA LIMON. C 3+1X1,25L ;  ;  ; 0 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001322882 ; 1.25L LIMONADE LORINA CRISTAL ;  ; 3551720030398 ; 3+1X1,5L LIMONADE ; LORINA LIMONADE 3+1X1,5L ;  ;  ; 0 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001322882 ; 1.25L LIMONADE LORINA CRISTAL ;  ; 3551720204683 ; LOT2X1.25L LORINA ; LOT2X1.25L LORINA CRISTAL ;  ;  ; 3,51 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000004156155 ; LORINA CRISTAL SS 1,25L ;  ; 2 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1,000 ;  ; 1,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000004156155 ; LORINA CRISTAL SS 1,25L ; T18994 ; 3551720206311 ; LORINA CRISTAL SS ; LORINA CRISTAL SS 1,25L ; 2,07 ; DPV ; 1,83 ; 2,45 ; E ; 2,45 ; PVC ; E ; 0,055 ; 1,000 ; UVC ; 1,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000004156155 ; LORINA CRISTAL SS 1,25L ; T69473 ; 3551720207059 ; LTX2 LORINA CRISTA ; LT 2X1,25L LORINA CRISTAL ; 4,15 ; PF ; 3,25 ; 4,5 ; T ; 4,5 ; PVB ; E ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000004270068 ; 1L LORINA DIABOLO MENTHE PET ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000004270068 ; 1L LORINA DIABOLO MENTHE PET ; U21690 ; 3551720207530 ; 1L LORINA DIABOLO ; 1L LORINA DIABOLO MENTHE ; 2,26 ; PF ; 1,71 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001451575 ; PET 1,5L LIMONADE CRF ;  ; 2 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 81,000 ;  ; 287,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001451575 ; PET 1,5L LIMONADE CRF ; 907465 ; 3560070559084 ; PET 1,5L LIMONADE ; PET 1,5L LIMONADE CRF CLA ; 0,5 ; DPV ; 0,6 ; 0,72 ; E ; 0,72 ; PVC ; E ; 0,055 ; 77,000 ; UVC ; 575,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001451575 ; PET 1,5L LIMONADE CRF ; 9911587 ; 3560070559169 ; CRF LIMONADE PET 1 ; CRF LIMONADE 6X1,5L ; 4,25 ; DPV ; 3,6 ; 4,68 ; E ; 4,68 ; PVC ; E ; 0,055 ; 4,000 ; UVC ; -48,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001519452 ; PET 1,5L LIMON.CTR SICIL.CRF C ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 4,000 ;  ; 7,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000001519452 ; PET 1,5L LIMON.CTR SICIL.CRF C ; 358070 ; 3560070692453 ; PET 1,5L LIMON.CTR ; PET 1,5L LIMON.CTR SICIL. ; 0,62 ; DPV ; 0,72 ; 1,49 ; E ; 1,49 ; PVC ; E ; 0,055 ; 4,000 ; UVC ; 7,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003543496 ; PET 1,5L LIMONADE PP BLANC ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 50,000 ;  ; 35,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000003543496 ; PET 1,5L LIMONADE PP BLANC ; 018104 ; 3560070824441 ; PET 1,5L LIMONADE ; PET 1,5L LIMONADE SIMPL ; 0,29 ; DPV ; 0,34 ; 0,38 ; R ; 0,38 ; PVC ; R ; 0,055 ; 50,000 ; UVC ; 35,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 99000000007227 ; PASTILLADE VICHY ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 30,000 ;  ; 115,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 99000000007227 ; PASTILLADE VICHY ; 9913388 ; 3700232244339 ; PASTILLADE VICHY ; PASTILLADE VICHY ; 1,45 ; PF ; 1,48 ; 1,99 ; E ; 1,99 ; PVC ; E ; 0,021 ; 30,000 ; UVC ; 115,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000002347618 ; 1L LIMONADE BIO FRESH ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 001 ; BRSA LIMONADE PET 1.5L ; 0000002347618 ; 1L LIMONADE BIO FRESH ; 952128 ; 3760186971019 ; LIMONADE BIO FRESH ; BIO FRESH LIMONADE 1L ; 1,05 ; DPV ; 1,09 ;  ;  ;  ;  ;  ; 0,055 ;  ; UVC ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 002 ; BRSA LIMONADE AROMATISEE ; 0000003061533 ; 1.25 CL CITRON  R.WHITE S ;  ; 1 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0 ;  ; 0,000 ;  ;  
 01 ; PGC ; 10 ; BOISSONS ; 100 ; SOFTS DRINKS ; 1000 ; GAZEIFIES ; 000 ; LIMONADES ET LIMES ; 002 ; BRSA LIMONADE AROMATISEE ; 0000003061533 ; 1.25 CL CITRON  R.WHITE S ; 103568 ; 3092718617356 ; 1.25 CL CITRON  R. ; CITRON  R.WHITE S 1.25 CL ; 1,78 ; DPV ; 1,66 ; 1,99 ; E ; 2,5 ; PVB ; E ; 0,055 ;  ; UVC ; 0,000 ;  ;  
