  ; Magasin 7512 CUSSET ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; édité le 09/03/2024 11:44 ;  ;;
 Commandabilité : Toutes ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;
 Niveau d'extraction : Groupe de famille, Famille, Sous-famille, Unité de Gestion, EAN ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;
 Fréquence d'extraction :  ;  ;  ;  ;  ;  ; Fin de planification :  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;
 Note : les champs avec * sont liées à la période de vente sélectionnée ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;
 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PVC ; PV Mag HT ; TVA en % ; Quantité vendue * ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ; Typologie ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;  ;  ;  ;  ;  ;4304;4775;  ;  ;  ;  ;  ;  ;  ;  ;5595;19289,38;24558,91;1185,879;0,02001433;13400;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ;  ;  ;  ;2319;2525;  ;  ;  ;  ;  ;  ;  ;  ;1348;5222,19;6694;356,1433;0,012806;4388;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ;  ;48;74;  ;  ;  ;  ;  ;  ;  ;  ;167;310,78;481,99;90,87833;0,03233442;359;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000001185668 ;1;  ;  ;  ;  ;  ;  ;  ;  ;16;21,44;37,52;9,826667;0,218254;25;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000001185668 ;3,56007E+12; 3/2BOUL.SCE PLT/CA ; 3/2BOUL.SCE PLT/CAROT/PAT ; CRF COMP V ; C&D FOODS FRANCE ;1,34;2,39;1,99;0,2;16;21,44;37,52;9,826667;0,218254;25;1;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000000006321 ;1;  ;  ;  ;  ;  ;  ;  ;  ;25;31,25;68,75;26,04167;0,3156566;35;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000000006321 ;3,56007E+12; 3/2 PATE POULET CH ; 3/2 PATE POULET CHIEN CRF ; CRF COMP V ; DEUERER PETCARE ;1,25;2,75;2,29;0,2;25;31,25;68,75;26,04167;0,3156566;35;2;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000003731037 ;2;  ;  ;  ;  ;  ;  ;  ;  ;19;17,29;20,9;0,1266667;0,002525253;28;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000003731037 ;3,56007E+12; 3/2 BOUCH SCE VOLA ; PPB BOUCH SCE VOLAILL 3/2 ; PP BLANC ; C&D FOODS FRANCE ;0,67;0,88;0,73;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000003731037 ;3,56007E+12; 800G BOULET SCE VO ; 800G BOULET SCE VOL CHIEN ; SIMPL ; C&D FOODS FRANCE ;0,91;1,1;0,92;0,2;19;17,29;20,9;0,1266667;0,005050505;28;2;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000003731038 ;2;  ;  ;  ;  ;  ;  ;  ;  ;10;9,1;11,21;0,2416667;0,008982555;30;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000003731038 ;3,56007E+12; BOULETTE BOEUF ; PPB BOULETTE BOEUF 1,250 ; PP BLANC ; C&D FOODS FRANCE ;0,67;0,88;0,73;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000003731038 ;3,56007E+12; 800G BOULET SCE BO ; 800G BOULET SCE BOEUF CHI ; SIMPL ; C&D FOODS FRANCE ;0,91;1,1;0,92;0,2;10;9,1;11,21;0,2416667;0,01796511;30;2;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000002619867 ;1;  ;  ;  ;  ;  ;  ;  ;  ;9;11,61;26,91;10,815;0,3349127;28;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000002619867 ;3,56007E+12; 3/2 BOUCHEE CUISIN ; 3/2 BOUCHEE CUISINEE BOEU ; CRF COMP V ; DEUERER PETCARE ;1,29;2,99;2,49;0,2;9;11,61;26,91;10,815;0,3349127;28;2;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000002619868 ;1;  ;  ;  ;  ;  ;  ;  ;  ;11;14,19;32,89;13,21833;0,3349127;24;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000002619868 ;3,56007E+12; 3/2 BOUCHEE CUISIN ; 3/2 BOUCHEE CUISINE AGNEA ; CRF COMP V ; DEUERER PETCARE ;1,29;2,99;2,49;0,2;11;14,19;32,89;13,21833;0,3349127;24;1;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000004197180 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 001 ; 0000004197180 ;5,40701E+12; 400G BT CHIEN DIND ; 400G BT CHIEN DINDE NOEL ; EDGAR&COOP ; 4 HEALTHY PETS SAR ;2,11;  ;3,29;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001014825 ;5;  ;  ;  ;  ;  ;  ;  ;  ;5;34,35;44,25;2,525;0,009510358;12;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001014825 ;3,06589E+12; 1/2 X6 TERRINE PED ; 1/2 X6 TERRINE PEDIGRE E ; PEDIGREE ; MARS FRANCE ;5,97;6,09;5,08;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001014825 ;3,06589E+12; 1/2 DELICE VIANDE ; PEDIGREE DELICES VIANDE ;  ;  ;  ;  ;  ;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001014825 ;3,06589E+12; PEDIGREE TER SAVEU ; PEDIGREE TERINE SAVEUR X6 ; PEDIGREE ; MARS FRANCE ;5;5,53;4,83;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001014825 ;3,06589E+12; 6X400G PEDIGREE 3V ; 6X400G BTE TERRINE 3 VAR ; PEDIGREE ; MARS FRANCE ;6,87;8,85;7,38;0,2;5;34,35;44,25;2,525;0,04755179;12;1;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001014825 ;4,00843E+12; 1/2 PEDIGREE PAL ; PEDIGREE PAL BOEUF 410G ; PEDIGREE ;  ;  ;0,98;0,81;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000003884806 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000003884806 ;3,06589E+12; 300G PEDIGREE AGNE ; 300G PEDIGREE AGNEAU VOLA ; PEDIGREE ; IMT HOLLANDE ;0,85;1,15;1,09;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001185670 ;2;  ;  ;  ;  ;  ;  ;  ;  ;5;10,1;17,25;4,275;0,1032609;7;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001185670 ;3,27019E+12; 4X1/2 ASS PAT BF/P ; 4X1/2 ASS PAT BF/PT/LEG C ; CRF COMP V ; FIDELE ;2,02;3,45;2,87;0,2;5;10,1;17,25;4,275;0,2065217;7;1;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001185670 ;3,27019E+12; PATE RICH VOL LEGU ; PATE.RICH.VOLAI/LEGU.CRF ; CARREFOUR ;  ;  ;  ;  ;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001313570 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001313570 ;3,27019E+12; PATE VIAND LEG CRF ; PATE RICHE VD/LEG.CRF400G ; CARREFOUR ;  ;  ;  ;  ;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001436254 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001436254 ;3,56007E+12; 4X400G TERR  ASS C ; 4X400G TERR  ASS CHIEN CR ; CRF COMP V ; C&D FOODS FRANCE ;1,41;3,25;2,71;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001451604 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001451604 ;3,56007E+12; 3X TERRINE TERROIR ; CRF TERRINE TERROIR X3 ; CARREFOUR ; DEUERER PETCARE ;  ;  ;  ;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000003757398 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;1;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000003757398 ;5,42504E+12; BOITE CHIEN POULET ; 400G BOITE CHIEN POULET&D ; EDGAR&COOP ; 4 HEALTHY PETS SAR ;1,98;3,99;3,33;0,2;  ;  ;  ;0;0;1;3;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000003756289 ;1;  ;  ;  ;  ;  ;  ;  ;  ;3;6,78;11,97;3,195;0,2224311;3;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000003756289 ;5,42504E+12; BOITE AGNEAU BOEUF ; 400G BOITE NATUR AGNEAU B ; EDGAR&COOP ; 4 HEALTHY PETS SAR ;2,26;3,99;3,33;0,2;3;6,78;11,97;3,195;0,2224311;3;2;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001405549 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 010 ; 0000001405549 ;8,00122E+12; PEDIGREE BOEUF SCE ; PEDIGREE BOEUF EN SCE 1/2 ; PEDIGREE ; MARS FRANCE ;  ;  ;  ;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 011 ; 0000001010441 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 011 ; 0000001010441 ;3,06589E+12; 3 2 PATEE MORCEAUX ; 3/2 PATEE+MORCEAUX BF LEG ; CANIGOU ; MARS FRANCE ;1,49;1,72;1,43;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 011 ; 0000000005316 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 011 ; 0000000005316 ;3,06589E+12; CANIGOU ALLEGE PLT ; CANIGOU ALLEGE POULET 3/2 ; CANIGOU ; MARS FRANCE ;1,53;1,74;1,45;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 011 ; 0000000010671 ;1;  ;  ;  ;  ;  ;  ;  ;  ;8;9,92;17,68;4,813334;0,2268728;36;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 011 ; 0000000010671 ;3,56007E+12; 3/2 PATE CHIEN BOE ; 3/2 PATE CHIEN BOEUF CARO ; CRF COMP V ; C&D FOODS FRANCE ;1,24;2,39;1,99;0,2;8;9,92;17,68;4,813334;0,2268728;36;1;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 012 ; 0000004159012 ;1;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 012 ; 0000004159012 ;3,76008E+12; PHYSYO CN TETRA AD ; 465G PHYSYO TETRA AD VIT ; PHYSYO PE ; NUTRISCIENCE ;1,96;3,35;2,79;0,2;  ;  ;  ;0;0;0;7;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001630633 ;2;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001630633 ;3,06589E+12; BOEUF PEDIGREE PAL ; PEDRIGREE PAL B.1/2 BOEUF ; PEDIGREE ;  ;  ;  ;  ;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001630633 ;3,06589E+12; 4X1/2 PEDIGREE BF ; PEDIGREE AU BOEUF 4X1/2 ; PEDIGREE ; MARS FRANCE ;3,2;4,14;3,45;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001037715 ;4;  ;  ;  ;  ;  ;  ;  ;  ;0;0;0;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001037715 ;3,06589E+12; PEDIGREE PAL AGNEA ; 3/2 PEDIGREE PAL AGNEAU ;  ;  ;  ;2,45;2,03;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001037715 ;3,06589E+12; PEDIGREE PAL VEAU ; 3/2 PEDIGREE PAL RICHE EN ;  ;  ;  ;  ;  ;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001037715 ;3,06589E+12; PEDIGREE PAL PORC ; 3/2 PEDIGREE PAL RICHE EN ;  ;  ;  ;2,36;1,96;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001037715 ;3,06589E+12; TERRINE PEDIGREE ; PEDIGRE.MULTIV.3X3/2 ; PEDIGREE ; MARS FRANCE ;5,54;7,05;5,88;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001133470 ;2;  ;  ;  ;  ;  ;  ;  ;  ;5;22,85;30,45;2,525;0,03455118;14;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001133470 ;3,06589E+12; MIJOTES TERROIR X4 ; PEDIGREE CUIS.EN SCE X4 ; PEDIGREE ; MARS FRANCE ;3,96;4,03;3,36;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001133470 ;3,06589E+12; 4X400G PEDIGREE BT ; 4X400G BTE CUISINE SAUCE ; PEDIGREE ; MARS FRANCE ;4,57;6,09;5,08;0,2;5;22,85;30,45;2,525;0,06910235;14;1;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001261975 ;3;  ;  ;  ;  ;  ;  ;  ;  ;6;41,22;51,54;1,73;0,009323934;11;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001261975 ;3,06589E+12; PEDIGREE MIJ TERRO ; PEDIGREE CUISINE EN SCE ; PEDIGREE ; MARS FRANCE ;5,95;5,99;4,99;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
 01 ; PGC ;14; EPICERIE ;149; ALIMENTS POUR ANIMAUX ;1490; ALIMENTS POUR CHIENS ; 000 ; HUMIDE CHIEN BOITE ; 020 ; 0000001261975 ;3,06589E+12; MIJOT TERROIR PEDI ; PEDIGREE CUIS.EN SCE +2GT ; PEDIGREE ; MARS FRANCE ;5;5,79;4,83;0,2;  ;  ;  ;0;0;0;  ;  ;  ;;
